['PTS'] : -0.49259875718175133 ,
['FGM'] : 0.19513452044125132 ,
['FGA'] : 0.14222373226465795 ,
['FTM'] : -0.07877815692962932 ,
['FTA'] : 0.04783250841376069 ,
['REB'] : 0.04180886841906709 ,
['AST'] : 0.43983693192172224 ,
['STL'] : 0.5267016327613727 ,
['BLK'] : 0.6879988661837046 ,
['TO'] : 0.29191741929108267 ,
['Win'] : -0.19507697442276756 ,
['PTS', 'FTA', 'REB', 'Win'] : -0.5626195226436251 ,
['PTS', 'FTA', 'AST', 'STL'] : -0.1748904092734397 ,
['PTS', 'FTA', 'AST', 'BLK'] : -0.672396825380585 ,
['PTS', 'FTA', 'AST', 'TO'] : -0.5268723043724519 ,
['PTS', 'FTA', 'AST', 'Win'] : -0.3423441025139585 ,
['PTS', 'FTA', 'STL', 'BLK'] : -0.56765146291168 ,
['PTS', 'FTA', 'STL', 'TO'] : -0.5323279775400536 ,
['PTS', 'FTA', 'STL', 'Win'] : -0.47471581903420057 ,
['PTS', 'FTA', 'BLK', 'TO'] : -0.6308825547038243 ,
['PTS', 'FTA', 'BLK', 'Win'] : -0.33297687694001005 ,
['PTS', 'FTA', 'TO', 'Win'] : 0.05458430453403314 ,
['PTS', 'REB', 'AST', 'STL'] : -0.5239396653499455 ,
['PTS', 'REB', 'AST', 'BLK'] : -0.538903886501733 ,
['PTS', 'REB', 'AST', 'TO'] : -0.14888536871893743 ,
['PTS', 'REB', 'AST', 'Win'] : -0.5622565977604433 ,
['PTS', 'REB', 'STL', 'BLK'] : -0.5372502946963879 ,
['PTS', 'REB', 'STL', 'TO'] : -0.39664389480252005 ,
['PTS', 'REB', 'STL', 'Win'] : -0.5149590951571179 ,
['PTS', 'REB', 'BLK', 'TO'] : -0.6583947776961515 ,
['PTS', 'REB', 'BLK', 'Win'] : -0.46627435617829804 ,
['PTS', 'REB', 'TO', 'Win'] : -0.3692395341510453 ,
['PTS', 'AST', 'STL', 'BLK'] : -0.5359367273569193 ,
['PTS', 'AST', 'STL', 'TO'] : -0.5958379639613657 ,
['PTS', 'AST', 'STL', 'Win'] : -0.37750996142062404 ,
['PTS', 'AST', 'BLK', 'TO'] : -0.5185311699265612 ,
['PTS', 'AST', 'BLK', 'Win'] : -0.37334272077969066 ,
['PTS', 'AST', 'TO', 'Win'] : -0.3451710137965451 ,
['PTS', 'STL', 'BLK', 'TO'] : -0.49851730884777307 ,
['PTS', 'STL', 'BLK', 'Win'] : -0.3049057642662692 ,
['PTS', 'STL', 'TO', 'Win'] : -0.36131236640446157 ,
['PTS', 'BLK', 'TO', 'Win'] : -0.3487454578511468 ,
['FGM', 'FGA', 'FTM', 'FTA'] : -0.2498733952797073 ,
['FGM', 'FGA', 'FTM', 'REB'] : -0.039646369947566575 ,
['FGM', 'FGA', 'FTM', 'AST'] : -0.30040724082953624 ,
['FGM', 'FGA', 'FTM', 'STL'] : -0.577042786965553 ,
['FGM', 'FGA', 'FTM', 'BLK'] : -0.467615461429641 ,
['FGM', 'FGA', 'FTM', 'TO'] : -0.6552930115154886 ,
['FGM', 'FGA', 'FTM', 'Win'] : -0.2460711866762585 ,
['FGM', 'FGA', 'FTA', 'REB'] : -0.502970870414957 ,
['FGM', 'FGA', 'FTA', 'AST'] : -0.42999207687480295 ,
['FGM', 'FGA', 'FTA', 'STL'] : -0.07870258051382024 ,
['FGM', 'FGA', 'FTA', 'BLK'] : -0.5866630054606057 ,
['FGM', 'FGA', 'FTA', 'TO'] : -0.605666374750929 ,
['FGM', 'FGA', 'FTA', 'Win'] : -0.3437755727645645 ,
['FGM', 'FGA', 'REB', 'AST'] : -0.6627096375584638 ,
['FGM', 'FGA', 'REB', 'STL'] : -0.4516092718425987 ,
['FGM', 'FGA', 'REB', 'BLK'] : -0.5556850882415437 ,
['FGM', 'FGA', 'REB', 'TO'] : -0.5243618879614826 ,
['FGM', 'FGA', 'REB', 'Win'] : -0.49558593550639823 ,
['FGM', 'FGA', 'AST', 'STL'] : -0.37244895443833875 ,
['FGM', 'FGA', 'AST', 'BLK'] : -0.5515129983377965 ,
['FGM', 'FGA', 'AST', 'TO'] : -0.5961183513884456 ,
['FGM', 'FGA', 'AST', 'Win'] : -0.15524236807098643 ,
['FGM', 'FGA', 'STL', 'BLK'] : -0.39634599600244297 ,
['FGM', 'FGA', 'STL', 'TO'] : -0.5333481654663151 ,
['FGM', 'FGA', 'STL', 'Win'] : -0.37121787287839575 ,
['FGM', 'FGA', 'BLK', 'TO'] : -0.43611936981343147 ,
['FGM', 'FGA', 'BLK', 'Win'] : -0.06013595802843089 ,
['FGM', 'FGA', 'TO', 'Win'] : -0.1927088376893831 ,
['FGM', 'FTM', 'FTA', 'REB'] : -0.3225779027171899 ,
['FGM', 'FTM', 'FTA', 'AST'] : -0.3193158178579817 ,
['FGM', 'FTM', 'FTA', 'STL'] : -0.22704411915955025 ,
['FGM', 'FTM', 'FTA', 'BLK'] : -0.32284099490861096 ,
['FGM', 'FTM', 'FTA', 'TO'] : -0.5404622558232919 ,
['FGM', 'FTM', 'FTA', 'Win'] : -0.13080139769260002 ,
['FGM', 'FTM', 'REB', 'AST'] : -0.4682077446157403 ,
['FGM', 'FTM', 'REB', 'STL'] : -0.5138331709201082 ,
['FGM', 'FTM', 'REB', 'BLK'] : -0.5530904177808867 ,
['FGM', 'FTM', 'REB', 'TO'] : -0.5935936463519884 ,
['FGM', 'FTM', 'REB', 'Win'] : -0.2875121990859846 ,
['FGM', 'FTM', 'AST', 'STL'] : -0.31772796440675277 ,
['FGM', 'FTM', 'AST', 'BLK'] : -0.34353128617614576 ,
['FGM', 'FTM', 'AST', 'TO'] : -0.47603094134048257 ,
['FGM', 'FTM', 'AST', 'Win'] : -0.10208997423967678 ,
['FGM', 'FTM', 'STL', 'BLK'] : -0.21509352669986503 ,
['FGM', 'FTM', 'STL', 'TO'] : -0.3794607196692736 ,
['FGM', 'FTM', 'STL', 'Win'] : -0.1271314832513004 ,
['FGM', 'FTM', 'BLK', 'TO'] : -0.452868859209412 ,
['FGM', 'FTM', 'BLK', 'Win'] : -0.06352226136141383 ,
['FGM', 'FTM', 'TO', 'Win'] : -0.27649696146456615 ,
['FGM', 'FTA', 'REB', 'AST'] : -0.5446491723145859 ,
['FGM', 'FTA', 'REB', 'STL'] : -0.6096416069024546 ,
['FGM', 'FTA', 'REB', 'BLK'] : -0.5827526580083902 ,
